міндетінен	міндет:ROOT/і:MORPH/нен:MORPH
қарағанда	қара:ROOT/ған:MORPH/да:MORPH
кастрацияға	кастрация:ROOT/ға:MORPH
Мен	Мен:ROOT
ол	ол:ROOT
Неліктен	Нелік:ROOT/тен:MORPH
мемлекет	мемлекет:ROOT
еместігін	е:ROOT/мес:MORPH/ті:MORPH/гі:MORPH/н:MORPH
иелерінің	ие:ROOT/лер:MORPH/і:MORPH/нің:MORPH
бәрі	бәрі:ROOT
ал	ал:ROOT
осы	осы:ROOT
ішінде	іш:ROOT/і:MORPH/нде:MORPH
қалған	қал:ROOT/ған:MORPH
ойшылдың	ой:ROOT/шыл:MORPH/дың:MORPH
тұрғыдан	тұрғы:ROOT/дан:MORPH
айналған	айнал:ROOT/ған:MORPH
қатысты	қатыс:ROOT/ты:MORPH
тартымды	тарт:ROOT/ым:MORPH/ды:MORPH
қаланғанға	қала:ROOT/н:MORPH/ған:MORPH/ға:MORPH
мүмкіндік	мүмкін:ROOT/дік:MORPH
және	және:ROOT
еңбектерінің	еңбек:ROOT/тер:MORPH/і:MORPH/нің:MORPH
өзіне	өз:ROOT/і:MORPH/не:MORPH
немесе	немесе:ROOT
деп	де:ROOT/п:MORPH
баласы	баласы:ROOT
оны	о:ROOT/ны:MORPH
Білімге	Білім:ROOT/ге:MORPH
құштарлықпен	құштар:ROOT/лық:MORPH/пен:MORPH
әуелдегідей	әуел:ROOT/де:MORPH/гі:MORPH/дей:MORPH
анықтап	анықта:ROOT/п:MORPH
деген	де:ROOT/ген:MORPH
мазмұн	мазмұн:ROOT
шынайы	шынайы:ROOT
мәселе	мәселе:ROOT
бар	бар:ROOT
пен	пен:ROOT
өнерді	өнер:ROOT/ді:MORPH
қалай	қалай:ROOT
диалогтағы	диалог:ROOT/та:MORPH/ғы:MORPH
қоюдан	қо:ROOT/ю:MORPH/дан:MORPH
Астроном	Астроном:ROOT
ақиқат	ақиқат:ROOT
жалғаса	жалғас:ROOT/а:MORPH
картезиандық	картезиан:ROOT/дық:MORPH
мақсат	мақсат:ROOT
элементтер	элемент:ROOT/тер:MORPH
білімін	біл:ROOT/ім:MORPH/ін:MORPH
позитивті	позитив:ROOT/ті:MORPH
құмарлық	құмар:ROOT/лық:MORPH
ақылойдың	ақылой:ROOT/дың:MORPH
Сократтың	Сократ:ROOT/тың:MORPH
рақаттану	рақат:ROOT/тан:MORPH/у:MORPH
Локктың	Локк:ROOT/тың:MORPH
мәні	мән:ROOT/і:MORPH
Академияның	Академия:ROOT/ның:MORPH
және	және:ROOT
адамның	адам:ROOT/ның:MORPH
Бірінші	Бір:ROOT/інші:MORPH
келген	кел:ROOT/ген:MORPH
нәпсіні	нәпсі:ROOT/ні:MORPH
сұхбаттың	сұхбат:ROOT/тың:MORPH
шығармаларының	шығ:ROOT/ар:MORPH/ма:MORPH/лар:MORPH/ы:MORPH/ның:MORPH
таным	тан:ROOT/ым:MORPH
формасы	форма:ROOT/сы:MORPH
ол	ол:ROOT
махаббаттың	махаббат:ROOT/тың:MORPH
қарамастан	қара:ROOT/мас:MORPH/тан:MORPH
Олардың	О:ROOT/лар:MORPH/дың:MORPH
Шатле	Шатле:ROOT
жүрекке	жүрек:ROOT/ке:MORPH
даналықтың	дана:ROOT/лық:MORPH/тың:MORPH
махаббаты	махаббат:ROOT/ы:MORPH
болған	бол:ROOT/ған:MORPH
әпсанасы	әпсана:ROOT/сы:MORPH
сөз	сөз:ROOT
жағдайдың	жағдай:ROOT/дың:MORPH
болады	бол:ROOT/а:MORPH/ды:MORPH
ұмтылысқа	ұмтыл:ROOT/ыс:MORPH/қа:MORPH
өз	өз:ROOT
айналатын	айна:ROOT/л:MORPH/атын:MORPH
Десе	Де:ROOT/се:MORPH
кітаптың	кітап:ROOT/тың:MORPH
диалогтарынан	диалог:ROOT/тар:MORPH/ы:MORPH/нан:MORPH
Мемлекет	Мемлекет:ROOT
философтың	философ:ROOT/тың:MORPH
туралы	туралы:ROOT
деген	де:ROOT/ген:MORPH
тақуалыққа	тақуа:ROOT/лық:MORPH/қа:MORPH
мұндай	мұн:ROOT/дай:MORPH
өкілі	өкіл:ROOT/і:MORPH
жетілдіру	жет:ROOT/іл:MORPH/дір:MORPH/у:MORPH
қуатын	қуат:ROOT/ын:MORPH
деген	де:ROOT/ген:MORPH
бір	бір:ROOT
да	да:ROOT
жатқанын	жат:ROOT/қан:MORPH/ын:MORPH
Сократ	Сократ:ROOT
философиялық	философия:ROOT/лық:MORPH
Осы	Осы:ROOT
бірбірімен	бірбір:ROOT/і:MORPH/мен:MORPH
өрісіне	өріс:ROOT/і:MORPH/не:MORPH
үнсіз	үн:ROOT/сіз:MORPH
арасындағы	ара:ROOT/сы:MORPH/н:MORPH/да:MORPH/ғы:MORPH
екеуінің	еке:ROOT/у:MORPH/і:MORPH/нің:MORPH
және	және:ROOT
тән	тән:ROOT
толы	толы:ROOT
бола	бол:ROOT/а:MORPH
түсіндіруге	түсін:ROOT/дір:MORPH/у:MORPH/ге:MORPH
аяқталады	аяқтал:ROOT/а:MORPH/ды:MORPH
мүмкін	мүмкін:ROOT
болады	бол:ROOT/а:MORPH/ды:MORPH
тіліндегі	тіл:ROOT/і:MORPH/н:MORPH/де:MORPH/гі:MORPH
кейін	кейін:ROOT
Сократ	Сократ:ROOT
дүбірлі	дүбір:ROOT/лі:MORPH
жердегі	жер:ROOT/де:MORPH/гі:MORPH
сіз	сіз:ROOT
тығыз	тығыз:ROOT
Мемлекет	Мемлекет:ROOT
бе	бе:ROOT
қажетті	қажет:ROOT/ті:MORPH
ұмтылған	ұмтыл:ROOT/ған:MORPH
сезім	сез:ROOT/ім:MORPH
мәселелерге	мәселе:ROOT/лер:MORPH/ге:MORPH
мәселеге	мәселе:ROOT/ге:MORPH
ілімнің	ілім:ROOT/нің:MORPH
Сократ	Сократ:ROOT
да	да:ROOT
нақты	нақ:ROOT/ты:MORPH
екі	екі:ROOT
мемлекеттің	мемлекет:ROOT/тің:MORPH
санасы	сана:ROOT/сы:MORPH
туабітті	туабіт:ROOT/ті:MORPH
назарда	назар:ROOT/да:MORPH
мен	мен:ROOT
әпсананы	әпсана:ROOT/ны:MORPH
соқыр	соқыр:ROOT
сөйлеу	сөйле:ROOT/у:MORPH
философиялық	философия:ROOT/лық:MORPH
келтіруге	кел:ROOT/тір:MORPH/у:MORPH/ге:MORPH
әпсанасымен	әпсана:ROOT/сы:MORPH/мен:MORPH
ең	ең:ROOT
екені	е:ROOT/кен:MORPH/і:MORPH
қарастырып	қарас:ROOT/тыр:MORPH/ып:MORPH
тәуелділіктен	тәуел:ROOT/ді:MORPH/лік:MORPH/тен:MORPH
Оның	О:ROOT/ның:MORPH
алмады	ал:ROOT/ма:MORPH/ды:MORPH
көрсетеді	көр:ROOT/се:MORPH/т:MORPH/е:MORPH/ді:MORPH
құмарлығынан	құмар:ROOT/лығ:MORPH/ы:MORPH/нан:MORPH
Жұрттың	Жұрт:ROOT/тың:MORPH
Платонның	Платон:ROOT/ның:MORPH
Оған	О:ROOT/ған:MORPH
жүйелі	жүйе:ROOT/лі:MORPH
Құдайда	Құдай:ROOT/да:MORPH
мынадай	мына:ROOT/дай:MORPH
ойшылдары	ой:ROOT/шыл:MORPH/дар:MORPH/ы:MORPH
өздеріне	өздер:ROOT/і:MORPH/не:MORPH
қарымқатынас	қарымқатынас:ROOT
философиялық	философия:ROOT/лық:MORPH
Платон	Платон:ROOT
оған	о:ROOT/ған:MORPH
бас	бас:ROOT
сол	сол:ROOT
өмірге	өмір:ROOT/ге:MORPH
қараңыз	қара:ROOT/ңыз:MORPH
Симпозиумды	Симпозиум:ROOT/ды:MORPH
де	де:ROOT
қалаудан	қала:ROOT/у:MORPH/дан:MORPH
терең	терең:ROOT
комедиографты	комедиограф:ROOT/ты:MORPH
несімен	не:ROOT/сі:MORPH/мен:MORPH
олар	о:ROOT/лар:MORPH
шешендер	шешен:ROOT/дер:MORPH
өнерді	өнер:ROOT/ді:MORPH
қандай	қандай:ROOT
тұрғысынан	тұрғыс:ROOT/ы:MORPH/нан:MORPH
Сократ	Сократ:ROOT
ойдың	ой:ROOT/дың:MORPH
қозғалады	қозғ:ROOT/ал:MORPH/а:MORPH/ды:MORPH
керек	керек:ROOT
сұлу	сұлу:ROOT
айтқанда	айт:ROOT/қан:MORPH/да:MORPH
біз	біз:ROOT
айырмашылығы	айыр:ROOT/ма:MORPH/шылығ:MORPH/ы:MORPH
ықылық	ықылық:ROOT
жазасына	жаза:ROOT/сы:MORPH/на:MORPH
геометриялық	геометрия:ROOT/лық:MORPH
Экономист	Экономист:ROOT
екі	екі:ROOT
бас	бас:ROOT
Ол	Ол:ROOT
игілік	игі:ROOT/лік:MORPH
пен	пен:ROOT
ақылды	ақыл:ROOT/ды:MORPH
болған	бол:ROOT/ған:MORPH
поэтикалық	поэтика:ROOT/лық:MORPH
тұжырымдар	тұжырым:ROOT/дар:MORPH
Аристофанның	Аристофан:ROOT/ның:MORPH
да	да:ROOT
мүмкіндігінде	мүмкін:ROOT/діг:MORPH/і:MORPH/н:MORPH/де:MORPH
толғамға	тол:ROOT/ғам:MORPH/ға:MORPH
береді	бер:ROOT/е:MORPH/ді:MORPH
тәртіптің	тәртіп:ROOT/тің:MORPH
анық	анық:ROOT
тереңірек	терең:ROOT/ірек:MORPH
пен	пен:ROOT
мәдениет	мәдениет:ROOT
және	және:ROOT
бір	бір:ROOT
консервативті	консерватив:ROOT/ті:MORPH
махаббат	махаббат:ROOT
осындай	ос:ROOT/ындай:MORPH
жұмысы	жұмыс:ROOT/ы:MORPH
таластырушылар	талас:ROOT/тыр:MORPH/у:MORPH/шы:MORPH/лар:MORPH
алатынын	ал:ROOT/атын:MORPH/ын:MORPH
терминологияны	терминология:ROOT/ны:MORPH
ортадағы	орта:ROOT/да:MORPH/ғы:MORPH
орасан	орасан:ROOT
Эростың	Эрос:ROOT/тың:MORPH
қайтадан	қайта:ROOT/дан:MORPH
ІІ	ІІ:ROOT
жөн	жөн:ROOT
лайық	лайық:ROOT
ортасын	орта:ROOT/сы:MORPH/н:MORPH
Ол	Ол:ROOT
Марион	Марион:ROOT
тура	тура:ROOT
мадақ	мадақ:ROOT
даналық	дана:ROOT/лық:MORPH
екіншісі	ек:ROOT/інші:MORPH/сі:MORPH
маманның	маман:ROOT/ның:MORPH
сосын	сосын:ROOT
еншісіндегі	енші:ROOT/сі:MORPH/н:MORPH/де:MORPH/гі:MORPH
философ	философ:ROOT
стиль	стиль:ROOT
кеңейткісі	кеңей:ROOT/т:MORPH/кі:MORPH/сі:MORPH
өкілетті	өкілет:ROOT/ті:MORPH
Эриксимах	Эриксимах:ROOT
Шешен	Шешен:ROOT
секілді	секіл:ROOT/ді:MORPH
не	не:ROOT
оқырмандары	оқыр:ROOT/ман:MORPH/дар:MORPH/ы:MORPH
Толғаныстардың	Толғаныс:ROOT/тар:MORPH/дың:MORPH
Философия	Философия:ROOT
де	де:ROOT
Қоғамдық	Қоғам:ROOT/дық:MORPH
белгілі	белгі:ROOT/лі:MORPH
қолайсыз	қолай:ROOT/сыз:MORPH
шешенің	шеше:ROOT/нің:MORPH
көтерілу	көтер:ROOT/іл:MORPH/у:MORPH
картезиандықтардың	картезиан:ROOT/дық:MORPH/тар:MORPH/дың:MORPH
мазмұндамасы	мазмұн:ROOT/да:MORPH/ма:MORPH/сы:MORPH
ұстаным	ұстаным:ROOT
софистиканы	софистика:ROOT/ны:MORPH
Гоббс	Гоббс:ROOT
Сократқа	Сократ:ROOT/қа:MORPH
ешқандай	ешқандай:ROOT
ретінде	рет:ROOT/і:MORPH/н:MORPH/де:MORPH
өз	өз:ROOT
ешқандай	ешқандай:ROOT
адам	адам:ROOT
көреді	көр:ROOT/е:MORPH/ді:MORPH
ұлы	ұлы:ROOT
шашып	шаш:ROOT/ып:MORPH
шағында	шағ:ROOT/ы:MORPH/н:MORPH/да:MORPH
ұлына	ұл:ROOT/ы:MORPH/на:MORPH
қанша	қанша:ROOT
кейін	кейін:ROOT
енді	енді:ROOT
ұстанған	ұста:ROOT/н:MORPH/ған:MORPH
Шығармаларының	Шығ:ROOT/ар:MORPH/ма:MORPH/лар:MORPH/ы:MORPH/ның:MORPH
пікірлер	пікір:ROOT/лер:MORPH
әйел	әйел:ROOT
тобықтай	тобық:ROOT/тай:MORPH
атаса	ата:ROOT/са:MORPH
адасудың	адас:ROOT/у:MORPH/дың:MORPH
бірденбір	бір:ROOT/денбір:MORPH
әділдік	әділ:ROOT/дік:MORPH
мен	мен:ROOT
Сократтың	Сократ:ROOT/тың:MORPH
емес	е:ROOT/ме:MORPH/с:MORPH
негізінен	негіз:ROOT/і:MORPH/нен:MORPH
интуиция	интуиция:ROOT
ортаға	орта:ROOT/ға:MORPH
картезиандық	картезиан:ROOT/дық:MORPH
думан	думан:ROOT
тұтастығын	тұтас:ROOT/ты:MORPH/ғы:MORPH/н:MORPH
мен	мен:ROOT
сенімсіз	сен:ROOT/ім:MORPH/сіз:MORPH
аяғында	аяғ:ROOT/ы:MORPH/н:MORPH/да:MORPH
ғана	ғана:ROOT
мезі	мезі:ROOT
екенін	е:ROOT/кен:MORPH/і:MORPH/н:MORPH
көрінісі	көрініс:ROOT/і:MORPH
сезімталы	сез:ROOT/ім:MORPH/тал:MORPH/ы:MORPH
тартуы	тарт:ROOT/у:MORPH/ы:MORPH
бірдей	бір:ROOT/дей:MORPH
ақылдың	ақыл:ROOT/дың:MORPH
грек	грек:ROOT
жағдайларда	жағдай:ROOT/лар:MORPH/да:MORPH
жылдан	жыл:ROOT/дан:MORPH
ғана	ғана:ROOT
немесе	немесе:ROOT
РодисЛьюистің	РодисЛьюис:ROOT/тің:MORPH
ол	ол:ROOT
кез	кез:ROOT
үнемі	үнемі:ROOT
олар	о:ROOT/лар:MORPH
байланыс	байланыс:ROOT
алып	ал:ROOT/ып:MORPH
бой	бой:ROOT
ілгеріде	ілгері:ROOT/де:MORPH
туралы	туралы:ROOT
дәлелдерді	дәлел:ROOT/дер:MORPH/ді:MORPH
эмпирикалық	эмпирика:ROOT/лық:MORPH
Аристотель	Аристотель:ROOT
тазалығын	таза:ROOT/лығ:MORPH/ы:MORPH/н:MORPH
қарастырады	қарас:ROOT/тыр:MORPH/а:MORPH/ды:MORPH
анық	анық:ROOT
пен	пен:ROOT
арасында	ара:ROOT/сы:MORPH/н:MORPH/да:MORPH
Платон	Платон:ROOT
кейінірек	кейін:ROOT/ірек:MORPH
диалогтың	диалог:ROOT/тың:MORPH
еді	е:ROOT/ді:MORPH
көзқарас	көз:ROOT/қарас:MORPH
қарсы	қарсы:ROOT
ойынша	ой:ROOT/ы:MORPH/н:MORPH/ша:MORPH
әңгімесін	әңгіме:ROOT/сі:MORPH/н:MORPH
қарамақарсы	қара:ROOT/мақарсы:MORPH
сынды	сын:ROOT/ды:MORPH
қалдырған	қал:ROOT/дыр:MORPH/ған:MORPH
салыстырып	салыс:ROOT/тыр:MORPH/ып:MORPH
Ақиқатты	Ақиқат:ROOT/ты:MORPH
тіліндегі	тіл:ROOT/і:MORPH/н:MORPH/де:MORPH/гі:MORPH
сақ	сақ:ROOT
келген	кел:ROOT/ген:MORPH
көзқарас	көз:ROOT/қарас:MORPH
оның	о:ROOT/ның:MORPH
қалпында	қалпы:ROOT/н:MORPH/да:MORPH
ауысу	ауысу:ROOT
байланысатынын	байланыс:ROOT/атын:MORPH/ы:MORPH/н:MORPH
Платон	Платон:ROOT
пікірлерін	пікір:ROOT/лер:MORPH/і:MORPH/н:MORPH
түсуге	түс:ROOT/у:MORPH/ге:MORPH
деп	де:ROOT/п:MORPH
өйткені	өйткені:ROOT
ғана	ғана:ROOT
шынайы	шынайы:ROOT
Аристотель	Аристотель:ROOT
Диотима	Диотима:ROOT
мойындайды	мойында:ROOT/й:MORPH/ды:MORPH
аңқау	аңқау:ROOT
сызықтың	сызық:ROOT/тың:MORPH
тым	тым:ROOT
да	да:ROOT
мәрте	мәрте:ROOT
Агафон	Агафон:ROOT
іске	іс:ROOT/ке:MORPH
Ұстазынан	Ұстаз:ROOT/ы:MORPH/нан:MORPH
алмаймыз	ал:ROOT/ма:MORPH/й:MORPH/мыз:MORPH
мүлдем	мүлдем:ROOT
тартуға	тарт:ROOT/у:MORPH/ға:MORPH
Сөз	Сөз:ROOT
Алкивиад	Алкивиад:ROOT
белгілерін	белгі:ROOT/лер:MORPH/і:MORPH/н:MORPH
хатшысы	хат:ROOT/шы:MORPH/сы:MORPH
тілінде	тіл:ROOT/і:MORPH/н:MORPH/де:MORPH
Косттың	Кост:ROOT/тың:MORPH
Тәжірибелер	Тәжірибе:ROOT/лер:MORPH
бізге	біз:ROOT/ге:MORPH
асқақ	асқақ:ROOT
құлақ	құлақ:ROOT
жазасына	жаза:ROOT/сы:MORPH/на:MORPH
ал	ал:ROOT
білімнің	біл:ROOT/ім:MORPH/нің:MORPH
жоғары	жоғары:ROOT
мақсаты	мақсат:ROOT/ы:MORPH
Аристотель	Аристотель:ROOT
болғанымен	бол:ROOT/ған:MORPH/ы:MORPH/мен:MORPH
алынған	ал:ROOT/ын:MORPH/ған:MORPH
пікірлерден	пікір:ROOT/лер:MORPH/ден:MORPH
жатбауыр	жатбауыр:ROOT
қайшы	қайшы:ROOT
мойындаған	мойын:ROOT/да:MORPH/ған:MORPH
дәрігерді	дәрі:ROOT/гер:MORPH/ді:MORPH
көздейді	көз:ROOT/де:MORPH/й:MORPH/ді:MORPH
қанша	қанша:ROOT
алғанда	ал:ROOT/ған:MORPH/да:MORPH
өзара	өз:ROOT/ара:MORPH
қарабайыр	қарабайыр:ROOT
келісімдер	келіс:ROOT/ім:MORPH/дер:MORPH
марапатталғанын	марапат:ROOT/тал:MORPH/ған:MORPH/ы:MORPH/н:MORPH
латын	латын:ROOT
деп	де:ROOT/п:MORPH
Сократтың	Сократ:ROOT/тың:MORPH
айырылып	айыр:ROOT/ыл:MORPH/ып:MORPH
баяндалады	баян:ROOT/да:MORPH/ла:MORPH/ды:MORPH
анықтай	анық:ROOT/та:MORPH/й:MORPH
жылдары	жыл:ROOT/дар:MORPH/ы:MORPH
мүмкіндік	мүмкін:ROOT/дік:MORPH
сөз	сөз:ROOT
берген	бер:ROOT/ген:MORPH
бөліктерден	бөлік:ROOT/тер:MORPH/ден:MORPH
бәрін	бәр:ROOT/і:MORPH/н:MORPH
мәтіндерге	мәтін:ROOT/дер:MORPH/ге:MORPH
соған	со:ROOT/ған:MORPH
сөздеріне	сөз:ROOT/дер:MORPH/і:MORPH/не:MORPH
Дегенмен	Де:ROOT/ген:MORPH/мен:MORPH
Екінші	Ек:ROOT/інші:MORPH
Симпозиумда	Симпозиум:ROOT/да:MORPH
әйел	әйел:ROOT
алуға	ал:ROOT/у:MORPH/ға:MORPH
сипатын	сипат:ROOT/ы:MORPH/н:MORPH
бөліктерін	бөлік:ROOT/тер:MORPH/ін:MORPH
ғана	ғана:ROOT
қамту	қамт:ROOT/у:MORPH
мен	мен:ROOT
Барша	Барша:ROOT
форма	форма:ROOT
көмектесуін	көмек:ROOT/тес:MORPH/у:MORPH/ін:MORPH
екіұдай	екі:ROOT/ұдай:MORPH
Платонның	Платон:ROOT/ның:MORPH
бар	бар:ROOT
тартысты	тарт:ROOT/ыс:MORPH/ты:MORPH
мәжбүрлеп	мәжбүр:ROOT/ле:MORPH/п:MORPH
мінездемесімен	мінез:ROOT/де:MORPH/ме:MORPH/сі:MORPH/мен:MORPH
көреді	көр:ROOT/е:MORPH/ді:MORPH
өнерге	өнер:ROOT/ге:MORPH
қарымқатынасын	қарымқатынас:ROOT/ы:MORPH/н:MORPH
әсемдікке	әсем:ROOT/дік:MORPH/ке:MORPH
туралы	туралы:ROOT
көңілін	көңіл:ROOT/і:MORPH/н:MORPH
тақырыбына	тақырыбы:ROOT/на:MORPH
шын	шын:ROOT
ол	ол:ROOT
жөнінде	жөн:ROOT/і:MORPH/н:MORPH/де:MORPH
сөздеріне	сөз:ROOT/дер:MORPH/і:MORPH/не:MORPH
ақиқатты	ақиқат:ROOT/ты:MORPH
тұжырымын	тұжырым:ROOT/ы:MORPH/н:MORPH
белгілі	белгілі:ROOT
мойындаудың	мойын:ROOT/да:MORPH/у:MORPH/дың:MORPH
диалогын	диалог:ROOT/ы:MORPH/н:MORPH
ежелгі	ежел:ROOT/гі:MORPH
сенімді	сен:ROOT/ім:MORPH/ді:MORPH
оларды	о:ROOT/лар:MORPH/ды:MORPH
оларды	о:ROOT/лар:MORPH/ды:MORPH
пікірлер	пікір:ROOT/лер:MORPH
Аристофанға	Аристофан:ROOT/ға:MORPH
өмір	өмір:ROOT
Бұл	Бұл:ROOT
фрейдтік	фрейд:ROOT/тік:MORPH
келуімен	кел:ROOT/у:MORPH/і:MORPH/мен:MORPH
туындаған	туын:ROOT/да:MORPH/ған:MORPH
Диалог	Диалог:ROOT
тұрды	тұр:ROOT/ды:MORPH
болсын	бол:ROOT/сын:MORPH
бөліп	бөл:ROOT/іп:MORPH
кірісіп	кір:ROOT/іс:MORPH/іп:MORPH
танысады	таныс:ROOT/а:MORPH/ды:MORPH
туралы	туралы:ROOT
қаланың	қала:ROOT/ның:MORPH
сезім	сез:ROOT/ім:MORPH
бөлімі	бөлім:ROOT/і:MORPH
Оқиға	Оқиға:ROOT
ортасында	орта:ROOT/сы:MORPH/н:MORPH/да:MORPH
нәтижесі	нәтиже:ROOT/сі:MORPH
физика	физика:ROOT
басқару	басқар:ROOT/у:MORPH
көмегімен	көмег:ROOT/і:MORPH/мен:MORPH
бағытталмаған	бағыт:ROOT/тал:MORPH/ма:MORPH/ған:MORPH
бар	бар:ROOT
қолданады	қол:ROOT/дан:MORPH/а:MORPH/ды:MORPH
құдіретті	құдірет:ROOT/ті:MORPH
жылы	жыл:ROOT/ы:MORPH
тарихи	тарих:ROOT/и:MORPH
біреулер	бір:ROOT/еу:MORPH/лер:MORPH
қарсы	қарсы:ROOT
тұсының	тұс:ROOT/ы:MORPH/ның:MORPH
Монпельеге	Монпелье:ROOT/ге:MORPH
өзіндік	өз:ROOT/і:MORPH/н:MORPH/дік:MORPH
potentia	potentia:ROOT
алғашқы	алғаш:ROOT/қы:MORPH
Масайған	Масай:ROOT/ған:MORPH
Платон	Платон:ROOT
логикалық	логика:ROOT/лық:MORPH
Агафон	Агафон:ROOT
өзі	өз:ROOT/і:MORPH
нақты	нақ:ROOT/ты:MORPH
Декарт	Декарт:ROOT
береді	бер:ROOT/е:MORPH/ді:MORPH
бесеудің	бесе:ROOT/у:MORPH/дің:MORPH
лайық	лайық:ROOT
Университетті	Университет:ROOT/ті:MORPH
танымалдығы	таным:ROOT/ал:MORPH/дығ:MORPH/ы:MORPH
аугустинизм	аугустинизм:ROOT
лайықты	лайық:ROOT/ты:MORPH
оларды	о:ROOT/лар:MORPH/ды:MORPH
алатын	ал:ROOT/атын:MORPH
түсіндіруге	түсін:ROOT/дір:MORPH/у:MORPH/ге:MORPH
физика	физика:ROOT
жазылғанын	жаз:ROOT/ыл:MORPH/ған:MORPH/ы:MORPH/н:MORPH
адамдардың	адам:ROOT/дар:MORPH/дың:MORPH
тіршілігі	тір:ROOT/шіліг:MORPH/і:MORPH
көрініс	көрініс:ROOT
поэтикалық	поэтика:ROOT/лық:MORPH
теоремалары	теорема:ROOT/лар:MORPH/ы:MORPH
қылатын	қыл:ROOT/атын:MORPH
даналыққа	дана:ROOT/лық:MORPH/қа:MORPH
мақұлдаған	мақұл:ROOT/да:MORPH/ған:MORPH
Платонға	Платон:ROOT/ға:MORPH
Сократ	Сократ:ROOT
қисынды	қисын:ROOT/ды:MORPH
Өйткені	Өйткені:ROOT
пікірталаста	пікір:ROOT/талас:MORPH/та:MORPH
қарай	қарай:ROOT
